itag,logFC,logCPM,PValue,FDR,chromosome,begin,end,Human.readable.description,Subject.ID,Description,Score,E.Value,Identities
Solyc11g044660.1.1,-1.233233898,5.869852554,2.30E-15,3.61E-12,SL2.40ch11,36000523,36000958,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc05g016710.1.1,3.450671554,4.429439489,4.36E-15,6.26E-12,SL2.40ch05,17998873,17999064,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc05g052280.2.1,2.69408717,3.739130905,9.06E-15,1.20E-11,SL2.40ch05,61706113,61709182,"Peroxidase (AHRD V1 ***- B9VRK9_CAPAN); contains Interpro domain(s)  IPR002016  Haem peroxidase, plant/fungal/bacterial ",AT5G05340.1 ,"peroxidase, putative | chr5:1579142-1580819 REVERSE", 492 bits (1267), e-139, 235/298 (78%)
Solyc01g014250.2.1,3.153280268,6.887119599,2.86E-14,3.52E-11,SL2.40ch01,11927678,11928241,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc02g043950.1.1,-1.359400659,4.500026069,6.85E-14,7.86E-11,SL2.40ch02,23574468,23574640,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc02g083950.2.1,7.579813958,1.45241568,3.54E-12,3.81E-09,SL2.40ch02,41768119,41769544,WUSCHEL-related homeobox-containing protein 4 (AHRD V1 *-*- C0LAL8_9MAGN); contains Interpro domain(s)  IPR001356  Homeobox ,AT2G17950.1 ,"WUS, PGA6, WUS1 | WUS (WUSCHEL); DNA binding / protein binding / transcription factor/ transcription regulator | chr2:7809100-7810671 REVERSE", 139 bits (349),2.00E-33, 105/283 (37%)
Solyc02g055370.2.1,1.336492103,8.568797716,4.46E-12,4.52E-09,SL2.40ch02,26262372,26263045,Transcriptional factor B3 family protein (AHRD V1 ***- D7LIC1_ARALY); contains Interpro domain(s)  IPR003340  Transcriptional factor B3 ,AT4G31640.1 ,transcriptional factor B3 family protein | chr4:15328357-15329658 FORWARD, 90.1 bits (222),3.00E-19, 51/120 (42%)
Solyc11g010570.1.1,1.367316985,7.642938438,6.17E-12,5.90E-09,SL2.40ch11,3640857,3645766,"MADS box transcription factor (AHRD V1 **-- Q2NNB9_ELAGV); contains Interpro domain(s)  IPR002100  Transcription factor, MADS-box  IPR002487  Transcription factor, K-box ",AT2G22540.1 ,"SVP, AGL22 | SVP (SHORT VEGETATIVE PHASE); transcription factor/ translation repressor, nucleic acid binding | chr2:9580417-9583603 FORWARD", 318 bits (816),2.00E-87, 169/243 (69%)
Solyc08g074680.2.1,-0.979319611,6.150162957,7.70E-12,6.98E-09,SL2.40ch08,55995940,56008590,Polyphenol oxidase (AHRD V1 *-*- Q41428_SOLTU); contains Interpro domain(s)  IPR002227  Tyrosinase ,.,No significant hit found,.,.,.
Solyc08g006200.1.1,2.233910781,3.224477175,1.37E-11,1.16E-08,SL2.40ch08,900078,905985,B3 domain-containing transcription factor VRN1 (AHRD V1 *-** VRN1_ARATH); contains Interpro domain(s)  IPR003340  Transcriptional factor B3 ,AT2G24700.1 ,transcriptional factor B3 family protein | chr2:10513049-10515288 REVERSE, 167 bits (423),2.00E-41, 162/600 (27%)
Solyc02g021350.2.1,2.706660037,2.966379959,1.41E-11,1.16E-08,SL2.40ch02,13212716,13214125,Testis-specific Y-encoded protein (AHRD V1 *--- Q540R4_HUMAN); contains Interpro domain(s)  IPR002164  Nucleosome assembly protein (NAP) ,AT1G74560.1 ,NRP1 | NRP1 (NAP1-RELATED PROTEIN 1); DNA binding / chromatin binding / histone binding | chr1:28017815-28019900 REVERSE, 184 bits (467),6.00E-47, 101/203 (49%)
Solyc02g079510.2.1,2.239768346,3.516714093,2.00E-11,1.57E-08,SL2.40ch02,38622413,38624805,"Peroxidase (AHRD V1 **** Q50LG4_TOBAC); contains Interpro domain(s)  IPR019793  Peroxidases heam-ligand binding site  IPR019794  Peroxidase, active site  IPR002016  Haem peroxidase, plant/fungal/bacterial ",AT5G05340.1 ,"peroxidase, putative | chr5:1579142-1580819 REVERSE", 255 bits (652),3.00E-68, 142/300 (47%)
Solyc12g027550.1.1,-0.898644528,6.460733887,4.17E-11,3.12E-08,SL2.40ch12,17602785,17603003,Photosystem II CP43 chlorophyll apoprotein (AHRD V1 ***- D2KLJ9_OLEEU); contains Interpro domain(s)  IPR000932  Photosystem antenna protein-like ,ATCG00280.1 ,PSBC | chloroplast gene encoding a CP43 subunit of  the photosystem II reaction center. promoter contains a blue-light responsive element. | chrC:33720-35141 FORWARD, 126 bits (316),3.00E-30, 62/66 (93%)
Solyc04g007790.2.1,3.809835499,1.700514074,1.39E-10,1.00E-07,SL2.40ch04,1474832,1476779,Major latex-like protein (AHRD V1 **-- B5THI3_PANGI); contains Interpro domain(s)  IPR000916  Bet v I allergen ,AT1G70890.1 ,MLP43 | MLP43 (MLP-LIKE PROTEIN 43) | chr1:26725912-26726489 REVERSE, 114 bits (284),3.00E-26, 60/148 (40%)
Solyc06g074730.2.1,1.561549728,4.990633615,1.78E-10,1.23E-07,SL2.40ch06,42661355,42667953,ARGONAUTE 1 (AHRD V1 ***- D6RUV9_TOBAC); contains Interpro domain(s)  IPR003165  Stem cell self-renewal protein Piwi ,AT2G27880.1 ,AGO5 | AGO5 (ARGONAUTE 5); nucleic acid binding | chr2:11871488-11876712 FORWARD, 1013 bits (2619),0, 522/965 (54%)
Solyc04g081590.2.1,0.850806636,7.320850238,2.66E-10,1.76E-07,SL2.40ch04,63126375,63130644,"Receptor like kinase, RLK",AT1G75820.1 ,"CLV1, FAS3, FLO5 | CLV1 (CLAVATA 1); ATP binding / kinase/ protein serine/threonine kinase/ receptor signaling protein serine/threonine kinase | chr1:28463631-28466652 REVERSE", 1246 bits (3225),0, 607/957 (63%)
Solyc10g007830.1.1,1.328905153,5.375043695,3.30E-10,2.01E-07,SL2.40ch10,2039278,2040606,"LRR receptor-like serine/threonine-protein kinase, RLP",AT2G42800.1 ,AtRLP29 | AtRLP29 (Receptor Like Protein 29); protein binding | chr2:17808157-17809545 REVERSE, 494 bits (1271), e-140, 260/416 (62%)
Solyc02g014560.2.1,3.424591869,2.237995041,3.34E-10,2.01E-07,SL2.40ch02,8385076,8387112,Calcium binding atopy-related autoantigen 1 (AHRD V1 **-* B6SL16_MAIZE); contains Interpro domain(s)  IPR011992  EF-Hand type ,AT4G32060.1 ,calcium-binding EF hand family protein | chr4:15501134-15503321 FORWARD, 460 bits (1183), e-129, 224/368 (60%)
Solyc06g074320.2.1,2.020184127,4.95121632,3.39E-10,2.01E-07,SL2.40ch06,42332448,42338082,"BZIP transcription factor (AHRD V1 ***- Q93XM6_ARATH); contains Interpro domain(s)  IPR011616  bZIP transcription factor, bZIP-1 ",AT1G08320.3 ,bZIP family transcription factor | chr1:2622113-2627451 REVERSE, 603 bits (1555), e-173, 322/499 (64%)
Solyc02g093040.2.1,3.214858957,3.571002077,3.51E-10,2.01E-07,SL2.40ch02,48560840,48562364,"Cathepsin B-like cysteine proteinase (AHRD V1 **-* CYSP_SCHMA); contains Interpro domain(s)  IPR013128  Peptidase C1A, papain ",AT1G47128.1 ,"RD21, RD21A | RD21 (responsive to dehydration 21); cysteine-type endopeptidase/ cysteine-type peptidase | chr1:17283139-17285609 REVERSE", 442 bits (1137), e-124, 216/356 (60%)
Solyc09g014550.2.1,1.853691903,3.196456285,4.39E-10,2.44E-07,SL2.40ch09,6176738,6177747,Major latex-like protein (AHRD V1 **-- B5THI3_PANGI); contains Interpro domain(s)  IPR000916  Bet v I allergen ,AT5G28010.1 ,Bet v I allergen family protein | chr5:10024813-10025382 FORWARD, 122 bits (305),1.00E-28, 56/143 (39%)
Solyc05g018500.2.1,0.801181315,6.091193882,9.24E-10,4.97E-07,SL2.40ch05,22070854,22074148,"CONSTANS interacting protein 6 (Fragment) (AHRD V1 **-- Q2VY13_SOLLC); contains Interpro domain(s)  IPR004082  Protein of unknown function DUF1423, plant ",AT1G14740.1 ,unknown protein | chr1:5075450-5077732 REVERSE, 659 bits (1701),0, 389/741 (52%)
Solyc04g076480.2.1,4.251032423,1.961398547,9.78E-10,5.11E-07,SL2.40ch04,58934431,58942365,Serine/threonine-protein kinase B-raf (AHRD V1 *-** BRAF_COTJA); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ,AT4G24480.1 ,"serine/threonine protein kinase, putative | chr4:12650410-12654755 FORWARD", 1023 bits (2645),0, 550/1002 (54%)
Solyc11g009040.1.1,1.975838329,3.178467471,1.13E-09,5.75E-07,SL2.40ch11,3166921,3168358,EPIDERMAL PATTERNING FACTOR-like protein 1 (AHRD V1 *-*- EPFL1_ARATH),AT5G10310.1 ,unknown protein | chr5:3241666-3242127 REVERSE, 62.4 bits (150),5.00E-11, 26/40 (65%)
Solyc02g063430.2.1,1.215002066,5.342472282,1.22E-09,6.00E-07,SL2.40ch02,30098703,30101097,BHLH transcription factor (AHRD V1 **** A9YWR2_MEDTR); contains Interpro domain(s)  IPR011598  Helix-loop-helix DNA-binding ,AT5G65640.1 ,bHLH093 | bHLH093 (beta HLH protein 93); DNA binding / transcription factor | chr5:26237137-26238904 FORWARD, 249 bits (635),2.00E-66, 129/192 (67%)
Solyc05g056620.1.1,3.727634657,3.180173567,1.27E-09,6.10E-07,SL2.40ch05,5216722,5226350,"Myocyte-specific enhancer factor 2D (AHRD V1 *-*- MEF2D_HUMAN); contains Interpro domain(s)  IPR002100  Transcription factor, MADS-box  IPR002487  Transcription factor, K-box ",NA,NA,NA,NA,NA
Solyc07g040890.1.1,7.167287905,1.051366689,1.44E-09,6.65E-07,SL2.40ch07,48297414,48298412,CXE carboxylesterase (Fragment) (AHRD V1 **-* Q0ZPV6_9ERIC); contains Interpro domain(s)  IPR013094  Alpha/beta hydrolase fold-3 ,AT5G62180.1 ,AtCXE20 | AtCXE20 (Arabidopsis thaliana carboxyesterase 20); carboxylesterase | chr5:24978866-24979849 REVERSE, 319 bits (817),2.00E-87, 165/321 (51%)
Solyc02g020920.1.1,7.654718599,1.39005032,1.47E-09,6.65E-07,SL2.40ch02,11049689,11050013,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc01g007720.2.1,-0.827719706,8.457611928,2.26E-09,9.98E-07,SL2.40ch01,1898832,1899766,ORF42f (AHRD V1 *-*- Q32989_PINTH),.,No significant hit found,.,.,.
Solyc03g115160.2.1,3.25948785,1.867346699,2.53E-09,1.09E-06,SL2.40ch03,59007750,59010706,PHD-finger family protein expressed (AHRD V1 *-*- Q2QSD0_ORYSJ),AT5G61120.1 ,INVOLVED IN: biological_process unknown; EXPRESSED IN: 8 plant structures; EXPRESSED DURING: 6 growth stages; BEST Arabidopsis thaliana protein match is: nucleic acid binding (TAIR:AT5G61090.1); Has 77 Blast hits to 70 proteins in 8 species: Archae - 0; Bacteria - 0; Metazoa - 20; Fungi - 0; Plants - 56; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink). | chr5:24582486-24585030 REVERSE, 86.7 bits (213),3.00E-17, 88/299 (29%)
Solyc10g082020.1.1,2.601439148,2.668767749,3.15E-09,1.32E-06,SL2.40ch10,62254561,62258072,Cytokinin riboside 5&apos;-monophosphate phosphoribohydrolase LOG (AHRD V1 **-- LOG_ORYSJ); contains Interpro domain(s)  IPR005269  Conserved hypothetical protein CHP00730 ,AT5G06300.1 ,carboxy-lyase | chr5:1922042-1925278 REVERSE, 367 bits (943), e-102, 179/211 (84%)
Solyc01g108170.2.1,-0.739996927,5.592719306,3.42E-09,1.40E-06,SL2.40ch01,87304636,87305554,Unknown Protein (AHRD V1),AT4G34420.1 ,unknown protein | chr4:16456597-16460526 FORWARD, 80.1 bits (196),4.00E-16, 55/128 (42%)
Solyc00g047700.2.1,-0.915098787,6.106041557,4.38E-09,1.73E-06,,,,,,,,,
Solyc02g077880.2.1,0.709551558,8.880364413,4.41E-09,1.73E-06,SL2.40ch02,37291522,37292600,Auxin-repressed protein (AHRD V1 ***- Q6PXE1_9SOLN); contains Interpro domain(s)  IPR008406  Dormancyauxin associated ,AT1G28330.4 ,DYL1 (DORMANCY-ASSOCIATED PROTEIN-LIKE 1) | chr1:9934134-9935216 REVERSE, 138 bits (347),9.00E-34, 76/124 (61%)
Solyc03g031730.2.1,3.505209003,1.817401971,5.22E-09,1.96E-06,SL2.40ch03,8460776,8471920,"Beta-glucosidase 47 (AHRD V1 **** D7MEP5_ARALY); contains Interpro domain(s)  IPR001360  Glycoside hydrolase, family 1 ",AT4G21760.1 ,"BGLU47 | BGLU47 (Beta-glucosidase 47); catalytic/ cation binding / hydrolase, hydrolyzing O-glycosyl compounds | chr4:11561229-11563871 FORWARD", 591 bits (1523), e-169, 271/479 (56%)
Solyc08g076010.2.1,2.457470126,2.751444042,5.23E-09,1.96E-06,SL2.40ch08,57233049,57236893,"Myb family transcription factor (AHRD V1 *--* D7L484_ARALY); contains Interpro domain(s)  IPR006447  Myb-like DNA-binding region, SHAQKYF class ",AT5G45580.1 ,transcription factor | chr5:18481092-18482598 REVERSE, 250 bits (639),1.00E-66, 143/264 (54%)
Solyc04g039730.2.1,0.798617869,7.069493156,5.91E-09,2.17E-06,SL2.40ch04,30322309,30327080,"Receptor like kinase, RLK",AT1G60800.1 ,NIK3 | NIK3 (NSP-INTERACTING KINASE 3); kinase | chr1:22383601-22386931 REVERSE, 883 bits (2282),0, 457/622 (73%)
Solyc09g005650.1.1,1.203599403,4.002548914,6.79E-09,2.44E-06,SL2.40ch09,443407,445329,HAT family dimerisation domain containing protein expressed (AHRD V1 ***- Q10BC8_ORYSJ); contains Interpro domain(s)  IPR007021  Protein of unknown function DUF659 ,AT3G13020.1 ,hAT dimerisation domain-containing protein | chr3:4166995-4168917 REVERSE, 419 bits (1078), e-117, 223/518 (43%)
Solyc01g100030.2.1,0.667266773,9.397166349,7.09E-09,2.49E-06,SL2.40ch01,81869800,81871185,Deoxyuridine 5&apos-triphosphate nucleotidohydrolase (AHRD V1 ***- D0NVQ2_PHYIN); contains Interpro domain(s)  IPR008181  DeoxyUTP pyrophosphatase subfamily 1 ,AT3G46940.1 ,deoxyuridine 5'-triphosphate nucleotidohydrolase family | chr3:17288367-17288867 REVERSE, 258 bits (659),1.00E-69, 126/163 (77%)
Solyc02g092050.2.1,-0.604212534,8.156737866,7.36E-09,2.54E-06,SL2.40ch02,47836352,47839882,"AP2-like ethylene-responsive transcription factor At1g16060 (AHRD V1 *-*- AP2L1_ARATH); contains Interpro domain(s)  IPR001471  Pathogenesis-related transcriptional factor and ERF, DNA-binding ",AT4G37750.1 ,"ANT, DRG, CKC, CKC1 | ANT (AINTEGUMENTA); DNA binding / transcription factor | chr4:17739782-17742189 FORWARD", 482 bits (1241), e-136, 286/558 (51%)
Solyc01g109390.2.1,1.52724898,3.895933829,9.43E-09,3.19E-06,SL2.40ch01,88122728,88123471,"PVR3-like protein (AHRD V1 ***- B6TVY8_MAIZE); contains Interpro domain(s)  IPR013770  Plant lipid transfer protein and hydrophobic protein, helical ",AT5G48490.1 ,protease inhibitor/seed storage/lipid transfer protein (LTP) family protein | chr5:19647932-19648237 REVERSE, 73.2 bits (178),3.00E-14, 39/96 (40%)
Solyc09g056100.1.1,-0.924906056,6.420515347,2.14E-08,7.07E-06,SL2.40ch09,42684052,42686859,PG1 protein (AHRD V1 *-*- C4VMD4_9LACO),.,No significant hit found,.,.,.
Solyc03g113950.2.1,1.766994897,3.550362052,2.40E-08,7.79E-06,SL2.40ch03,58055976,58058803,Calmodulin-binding protein (AHRD V1 **** Q9FKL6_ARATH); contains Interpro domain(s)  IPR012416  Calmodulin binding protein-like ,AT5G57580.1 ,calmodulin-binding protein | chr5:23314994-23317683 REVERSE, 151 bits (381),9.00E-37, 132/405 (32%)
Solyc11g016970.1.1,2.175557881,3.694326518,2.51E-08,8.01E-06,SL2.40ch11,7624890,7627907,Multidrug resistance protein mdtK (AHRD V1 *-*- MDTK_ENTS8); contains Interpro domain(s)  IPR002528  Multi antimicrobial extrusion protein MatE ,AT1G71870.1 ,MATE efflux family protein | chr1:27032456-27034895 REVERSE, 682 bits (1759),0, 351/488 (71%)
Solyc01g103250.2.1,1.391082116,8.048992851,2.65E-08,8.29E-06,SL2.40ch01,83659592,83668821,"Histone-lysine N-methyltransferase NSD3 (AHRD V1 *--- NSD3_HUMAN); contains Interpro domain(s)  IPR018144  Plus-3 domain, subgroup ",AT5G63700.1 ,zinc finger (C3HC4 type RING finger) family protein | chr5:25493934-25497632 REVERSE, 316 bits (809),3.00E-86, 184/516 (35%)
Solyc06g066130.1.1,4.746707952,1.180760837,3.31E-08,1.02E-05,SL2.40ch06,37841807,37842481,Fertilization-related kinase 1 (AHRD V1 ***- Q6EE09_SOLCH); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase ,AT4G36950.1 ,MAPKKK21 | MAPKKK21; ATP binding / protein kinase/ protein serine/threonine kinase | chr4:17422834-17423844 REVERSE, 82.4 bits (202),2.00E-16, 52/145 (35%)
Solyc11g056650.1.1,0.927797571,5.346203182,3.48E-08,1.05E-05,SL2.40ch11,45024809,45027346,BHLH transcription factor (AHRD V1 *-*- B6TXR4_MAIZE); contains Interpro domain(s)  IPR001092  Basic helix-loop-helix dimerisation region bHLH ,AT1G51140.1 ,basic helix-loop-helix (bHLH) family protein | chr1:18943802-18945613 REVERSE, 175 bits (444),5.00E-44, 110/258 (42%)
Solyc00g277510.1.1,-1.028125729,4.980973683,3.63E-08,1.08E-05,,,,,,,,,
Solyc04g071500.2.1,-0.644519334,7.447944082,4.07E-08,1.19E-05,SL2.40ch04,56073197,56075929,Unknown Protein (AHRD V1); contains Interpro domain(s)  IPR008972  Cupredoxin ,AT1G21090.1 ,hydroxyproline-rich glycoprotein family protein | chr1:7384854-7386199 FORWARD, 222 bits (566),1.00E-58, 129/241 (53%)
Solyc06g072540.1.1,-0.610609916,7.549230115,5.47E-08,1.57E-05,SL2.40ch06,41134119,41134445,ATP synthase subunit alpha chloroplastic (AHRD V1 ***- C6EN94_CARTI),ATCG00120.1 ,"ATPA | Encodes the ATPase alpha subunit, which is a subunit of ATP synthase and part of the CF1 portion which catalyzes the conversion of ADP to ATP using the proton motive force. This complex is located in the thylakoid membrane of the chloroplast. | chrC:9938-11461 REVERSE", 169 bits (429),2.00E-43, 85/101 (84%)
Solyc01g007690.2.1,-0.75241735,11.48138152,7.15E-08,2.02E-05,SL2.40ch01,1897089,1898250,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc08g077010.1.1,3.958931511,1.738460112,7.55E-08,2.10E-05,SL2.40ch08,58127804,58128670,AT-hook DNA-binding protein (Fragment) (AHRD V1 *--* A1DR79_CATRO); contains Interpro domain(s)  IPR014476  Predicted AT-hook DNA-binding ,AT4G17800.1 ,DNA-binding protein-related | chr4:9895549-9896427 REVERSE, 266 bits (679),1.00E-71, 196/308 (63%)
Solyc05g055680.2.1,0.729695107,6.769337518,7.68E-08,2.10E-05,SL2.40ch05,64372468,64373213,TO23-3 (Fragment) (AHRD V1 ***- Q3LVQ6_TAROF),AT3G02640.1 ,unknown protein | chr3:565064-565621 REVERSE, 157 bits (398),2.00E-39, 93/187 (49%)
Solyc11g045440.1.1,-0.87068315,9.571290304,8.81E-08,2.37E-05,SL2.40ch11,37814651,37818949,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc01g103260.2.1,1.147627986,5.733833184,9.65E-08,2.56E-05,SL2.40ch01,83668165,83668999,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc09g050110.1.1,-1.194588315,5.378356983,1.13E-07,2.95E-05,SL2.40ch09,32309339,32309717,Unknown Protein (AHRD V1),.,No significant hit found,.,.,.
Solyc03g098780.1.1,-1.399362897,5.203172978,1.15E-07,2.95E-05,SL2.40ch03,54508022,54508687,"Kunitz-type protease inhibitor (AHRD V1 **** Q3S488_SOLTU); contains Interpro domain(s)  IPR002160  Proteinase inhibitor I3, Kunitz legume ",AT1G17860.1 ,trypsin and protease inhibitor family protein / Kunitz family protein | chr1:6149343-6149933 FORWARD, 71.6 bits (174),4.00E-13, 61/186 (32%)
Solyc08g061160.1.1,-0.913318552,7.627979248,1.30E-07,3.27E-05,SL2.40ch08,44161453,44163846,ORF107c (AHRD V1 ***- A4QMC4_PINKO),.,No significant hit found,.,.,.
Solyc01g109750.2.1,0.818052364,5.731864337,1.31E-07,3.27E-05,SL2.40ch01,88378398,88379448,Syntaxin (AHRD V1 ***- Q6X9V9_HORVD); contains Interpro domain(s)  IPR010989  t-SNARE ,AT2G18260.1 ,"SYP112, ATSYP112 | SYP112 (SYNTAXIN OF PLANTS 112); SNAP receptor | chr2:7942275-7943192 FORWARD", 281 bits (720),3.00E-76, 148/298 (49%)
Solyc01g080540.2.1,0.692309588,6.186932923,1.52E-07,3.74E-05,SL2.40ch01,72299197,72301457,"Histidine-containing phosphotransfer protein (AHRD V1 **** Q94KS0_CATRO); contains Interpro domain(s)  IPR008207  Signal transduction histidine kinase, phosphotransfer (Hpt) region ",AT3G21510.1 ,AHP1 | AHP1 (HISTIDINE-CONTAINING PHOSPHOTRANSMITTER 1); histidine phosphotransfer kinase | chr3:7578432-7579537 REVERSE, 203 bits (516),4.00E-53, 105/151 (69%)
